id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_shipping,prior_purchases,product_importance,gender,discount_offered(%),weight_in_gms,reached.on.time_y.n,customer_rating_category,on_time(str),loyalty_category
4564,B,Ship,6,2,274,4,medium,male,8,1626,1,Dissatisfied,delayed,Moderate Loyal
4565,C,Ship,6,3,310,4,low,female,2,1817,0,Neutral,on time,Moderate Loyal
4566,E,Ship,6,2,282,5,medium,male,5,1818,1,Dissatisfied,delayed,Moderate Loyal
4567,D,Ship,6,1,247,4,medium,female,10,1783,0,Very dissatisfied,on time,Moderate Loyal
4568,E,Ship,4,2,262,4,low,male,2,5311,0,Dissatisfied,on time,Moderate Loyal
4569,A,Ship,3,3,213,3,medium,male,7,4133,0,Neutral,on time,Low Loyal
4570,B,Ship,4,5,136,3,medium,male,7,4817,1,Very Satisfied,delayed,Low Loyal
4571,C,Ship,3,5,134,2,low,female,4,5291,0,Very Satisfied,on time,Low Loyal
4572,E,Ship,2,2,171,2,medium,female,6,5105,0,Dissatisfied,on time,Low Loyal
4573,D,Ship,3,2,182,2,low,male,10,4391,1,Dissatisfied,delayed,Low Loyal
4574,E,Ship,4,4,185,3,medium,male,9,4469,0,Satisfied,on time,Low Loyal
4575,A,Ship,4,2,271,3,medium,female,4,5902,0,Dissatisfied,on time,Low Loyal
4576,B,Ship,4,1,166,5,low,female,1,5463,1,Very dissatisfied,delayed,Moderate Loyal
4577,C,Ship,4,2,196,2,low,male,4,5852,0,Dissatisfied,on time,Low Loyal
4578,E,Ship,4,4,157,4,low,male,6,4175,0,Satisfied,on time,Moderate Loyal
4579,D,Ship,4,4,218,2,low,male,4,4104,1,Satisfied,delayed,Low Loyal
4580,E,Ship,4,3,142,3,medium,female,6,5930,0,Neutral,on time,Low Loyal
4581,A,Ship,3,1,237,2,low,male,9,4626,1,Very dissatisfied,delayed,Low Loyal
4582,B,Ship,6,3,213,4,low,female,2,5349,0,Neutral,on time,Moderate Loyal
4583,C,Ship,5,1,241,2,medium,female,3,5391,1,Very dissatisfied,delayed,Low Loyal
4584,E,Ship,2,2,170,3,high,female,7,4284,1,Dissatisfied,delayed,Low Loyal
4585,D,Ship,3,1,156,3,medium,male,9,4278,0,Very dissatisfied,on time,Low Loyal
4586,E,Ship,3,4,228,3,medium,female,8,5419,0,Satisfied,on time,Low Loyal
4587,A,Ship,3,1,145,3,high,female,10,4364,0,Very dissatisfied,on time,Low Loyal
4588,B,Ship,4,1,145,3,low,male,3,5618,1,Very dissatisfied,delayed,Low Loyal
4589,C,Ship,3,4,166,3,medium,female,8,4369,1,Satisfied,delayed,Low Loyal
4590,E,Ship,5,5,106,5,medium,female,4,4410,1,Very Satisfied,delayed,Moderate Loyal
4591,D,Ship,5,3,210,3,high,female,4,4819,0,Neutral,on time,Low Loyal
4592,E,Ship,2,1,235,3,medium,female,6,4411,1,Very dissatisfied,delayed,Low Loyal
4593,A,Ship,4,2,142,2,medium,female,5,4062,0,Dissatisfied,on time,Low Loyal
4594,B,Ship,3,4,271,3,low,female,9,4889,1,Satisfied,delayed,Low Loyal
4595,C,Ship,4,5,245,3,medium,female,2,5439,1,Very Satisfied,delayed,Low Loyal
4596,E,Ship,4,2,192,4,medium,female,2,5503,0,Dissatisfied,on time,Moderate Loyal
4597,D,Ship,5,4,270,3,medium,male,9,4992,1,Satisfied,delayed,Low Loyal
4598,E,Ship,4,4,197,3,low,female,7,5099,0,Satisfied,on time,Low Loyal
4599,A,Ship,2,1,255,3,medium,female,1,5929,0,Very dissatisfied,on time,Low Loyal
4600,B,Ship,5,3,223,2,medium,female,9,5735,0,Neutral,on time,Low Loyal
4601,C,Ship,3,5,256,3,low,male,7,4366,1,Very Satisfied,delayed,Low Loyal
4602,E,Ship,4,2,229,2,low,male,9,5026,0,Dissatisfied,on time,Low Loyal
4603,D,Ship,3,3,233,3,low,female,5,4976,1,Neutral,delayed,Low Loyal
4604,E,Ship,3,4,164,6,medium,female,4,5567,1,Satisfied,delayed,Moderate Loyal
4605,A,Ship,3,1,171,2,medium,female,6,5704,1,Very dissatisfied,delayed,Low Loyal
4606,B,Ship,5,2,178,5,low,female,5,5167,0,Dissatisfied,on time,Moderate Loyal
4607,C,Ship,3,1,233,2,high,male,1,5073,1,Very dissatisfied,delayed,Low Loyal
4608,E,Ship,3,1,232,2,medium,female,2,5104,1,Very dissatisfied,delayed,Low Loyal
4609,D,Ship,4,2,236,3,low,female,1,4076,0,Dissatisfied,on time,Low Loyal
4610,E,Ship,3,2,197,3,medium,female,3,4491,0,Dissatisfied,on time,Low Loyal
4611,A,Ship,3,3,152,3,low,male,6,5749,1,Neutral,delayed,Low Loyal
4612,B,Ship,3,4,219,2,medium,male,7,4883,1,Satisfied,delayed,Low Loyal
4613,C,Ship,4,2,205,2,low,female,10,5580,0,Dissatisfied,on time,Low Loyal
4614,E,Ship,3,2,142,2,low,male,7,4082,0,Dissatisfied,on time,Low Loyal
4615,D,Ship,6,4,112,4,medium,female,9,4005,1,Satisfied,delayed,Moderate Loyal
4616,E,Ship,2,2,254,2,low,female,8,5827,0,Dissatisfied,on time,Low Loyal
4617,A,Ship,4,3,256,3,high,female,1,4323,0,Neutral,on time,Low Loyal
4618,B,Ship,4,4,168,4,medium,female,4,4676,0,Satisfied,on time,Moderate Loyal
4619,C,Ship,3,4,171,3,low,female,5,5872,0,Satisfied,on time,Low Loyal
4620,E,Ship,6,5,215,4,medium,male,5,5409,1,Very Satisfied,delayed,Moderate Loyal
4621,D,Ship,3,3,169,3,low,female,9,4317,1,Neutral,delayed,Low Loyal
4622,E,Ship,3,3,149,4,medium,female,3,5944,1,Neutral,delayed,Moderate Loyal
4623,A,Ship,4,1,223,3,low,female,9,4832,0,Very dissatisfied,on time,Low Loyal
4624,B,Ship,5,3,224,2,low,male,6,5962,1,Neutral,delayed,Low Loyal
4625,C,Ship,2,5,186,2,medium,male,10,4506,0,Very Satisfied,on time,Low Loyal
4626,E,Ship,4,4,184,3,medium,female,2,5381,0,Satisfied,on time,Low Loyal
4627,D,Ship,3,1,152,3,low,female,3,5839,1,Very dissatisfied,delayed,Low Loyal
4628,E,Ship,5,3,249,2,low,female,9,4568,0,Neutral,on time,Low Loyal
4629,A,Ship,3,3,173,5,medium,female,10,5840,0,Neutral,on time,Moderate Loyal
4630,B,Ship,5,5,167,2,medium,male,2,5908,0,Very Satisfied,on time,Low Loyal
4631,C,Ship,5,2,230,2,medium,male,9,4483,0,Dissatisfied,on time,Low Loyal
4632,E,Road,5,3,237,3,low,female,8,5131,0,Neutral,on time,Low Loyal
4633,D,Road,3,4,202,5,high,male,5,4632,0,Satisfied,on time,Moderate Loyal
4634,E,Road,4,3,134,4,low,male,3,5233,0,Neutral,on time,Moderate Loyal
4635,A,Road,5,3,263,3,medium,female,2,4688,0,Neutral,on time,Low Loyal
4636,B,Road,5,2,272,2,low,female,1,5412,0,Dissatisfied,on time,Low Loyal
4637,C,Road,4,2,231,6,low,male,8,5227,0,Dissatisfied,on time,Moderate Loyal
4638,E,Road,3,4,190,4,medium,female,7,5963,1,Satisfied,delayed,Moderate Loyal
4639,D,Road,5,4,223,2,low,male,5,4424,1,Satisfied,delayed,Low Loyal
4640,E,Road,5,1,257,3,medium,female,5,4355,0,Very dissatisfied,on time,Low Loyal
4641,A,Road,4,4,184,3,medium,male,2,4639,0,Satisfied,on time,Low Loyal
4642,B,Road,3,5,193,3,medium,male,1,5810,1,Very Satisfied,delayed,Low Loyal
4643,C,Road,4,3,204,2,low,female,7,4717,1,Neutral,delayed,Low Loyal
4644,E,Road,3,2,236,3,medium,male,8,5783,0,Dissatisfied,on time,Low Loyal
4645,D,Road,5,3,222,2,medium,male,3,4460,1,Neutral,delayed,Low Loyal
4646,E,Road,4,1,140,5,medium,male,6,4001,1,Very dissatisfied,delayed,Moderate Loyal
4647,A,Road,3,1,204,3,high,female,9,5093,0,Very dissatisfied,on time,Low Loyal
4648,B,Road,3,2,271,2,medium,male,6,5280,1,Dissatisfied,delayed,Low Loyal
4649,C,Road,3,1,108,6,medium,female,7,4024,0,Very dissatisfied,on time,Moderate Loyal
4650,E,Road,4,1,206,3,low,female,4,4745,0,Very dissatisfied,on time,Low Loyal
4651,D,Road,3,2,180,2,high,female,8,4408,0,Dissatisfied,on time,Low Loyal
4652,E,Road,3,2,193,3,low,female,7,5224,0,Dissatisfied,on time,Low Loyal
4653,A,Road,5,1,238,4,medium,male,10,4668,0,Very dissatisfied,on time,Moderate Loyal
4654,B,Flight,5,3,234,3,low,female,6,4632,0,Neutral,on time,Low Loyal
4655,C,Flight,2,5,271,2,low,female,5,5164,1,Very Satisfied,delayed,Low Loyal
4656,E,Flight,5,2,102,5,medium,female,3,4784,0,Dissatisfied,on time,Moderate Loyal
4657,D,Flight,3,1,185,3,medium,male,7,5474,1,Very dissatisfied,delayed,Low Loyal
4658,E,Flight,4,1,273,2,high,female,10,5832,1,Very dissatisfied,delayed,Low Loyal
4659,A,Flight,6,3,233,6,low,female,9,4814,0,Neutral,on time,Moderate Loyal
4660,B,Flight,5,3,191,2,medium,male,7,5783,1,Neutral,delayed,Low Loyal
4661,C,Flight,4,4,239,2,medium,male,4,4304,1,Satisfied,delayed,Low Loyal
4662,E,Flight,3,3,270,3,low,male,7,4152,0,Neutral,on time,Low Loyal
4663,D,Flight,5,2,279,4,low,female,8,4418,1,Dissatisfied,delayed,Moderate Loyal
4664,E,Flight,5,1,233,4,high,male,2,4615,1,Very dissatisfied,delayed,Moderate Loyal
4665,A,Flight,3,3,178,4,high,male,3,4154,1,Neutral,delayed,Moderate Loyal
4666,B,Flight,3,4,184,4,medium,male,2,4052,0,Satisfied,on time,Moderate Loyal
4667,C,Flight,3,5,202,3,low,male,2,5208,0,Very Satisfied,on time,Low Loyal
4668,E,Flight,3,3,149,2,medium,male,3,4527,0,Neutral,on time,Low Loyal
4669,D,Flight,5,2,133,2,high,female,2,4556,0,Dissatisfied,on time,Low Loyal
4670,E,Flight,4,4,224,5,low,female,9,4902,1,Satisfied,delayed,Moderate Loyal
4671,A,Flight,4,2,252,2,medium,female,6,5414,0,Dissatisfied,on time,Low Loyal
4672,B,Flight,4,3,208,2,medium,male,6,4276,1,Neutral,delayed,Low Loyal
4673,C,Flight,5,3,256,2,low,male,3,4456,0,Neutral,on time,Low Loyal
4674,E,Flight,3,5,206,4,medium,male,10,4321,1,Very Satisfied,delayed,Moderate Loyal
4675,D,Flight,2,1,177,4,low,female,5,4358,0,Very dissatisfied,on time,Moderate Loyal
4676,E,Ship,4,4,269,4,medium,female,3,5032,1,Satisfied,delayed,Moderate Loyal
4677,A,Ship,3,5,216,3,high,female,2,4242,0,Very Satisfied,on time,Low Loyal
4678,B,Ship,3,2,221,3,high,female,7,5477,0,Dissatisfied,on time,Low Loyal
4679,C,Ship,5,4,210,3,medium,female,6,5102,0,Satisfied,on time,Low Loyal
4680,E,Ship,4,5,205,3,medium,female,9,4411,0,Very Satisfied,on time,Low Loyal
4681,D,Ship,3,3,237,3,low,female,7,4062,0,Neutral,on time,Low Loyal
4682,E,Ship,5,4,139,2,medium,female,2,4217,1,Satisfied,delayed,Low Loyal
4683,A,Ship,4,4,163,3,low,male,3,4185,1,Satisfied,delayed,Low Loyal
4684,B,Ship,4,4,171,2,low,male,4,4962,0,Satisfied,on time,Low Loyal
4685,C,Ship,4,3,261,3,low,female,9,5994,1,Neutral,delayed,Low Loyal
4686,E,Ship,4,3,195,2,low,male,8,4576,0,Neutral,on time,Low Loyal
4687,D,Ship,4,2,190,6,high,male,5,4139,1,Dissatisfied,delayed,Moderate Loyal
4688,E,Ship,5,5,236,3,high,male,4,5724,1,Very Satisfied,delayed,Low Loyal
4689,A,Ship,3,4,254,3,medium,male,6,5716,0,Satisfied,on time,Low Loyal
4690,B,Ship,3,3,157,3,medium,male,10,4877,0,Neutral,on time,Low Loyal
4691,C,Ship,3,1,245,3,medium,female,1,5325,0,Very dissatisfied,on time,Low Loyal
4692,E,Ship,4,1,144,4,medium,male,8,4303,0,Very dissatisfied,on time,Moderate Loyal
4693,D,Ship,5,3,217,4,low,male,3,5718,1,Neutral,delayed,Moderate Loyal
4694,E,Ship,3,3,249,2,low,female,2,5078,0,Neutral,on time,Low Loyal
4695,A,Ship,3,2,176,2,low,female,2,5083,0,Dissatisfied,on time,Low Loyal
4696,B,Ship,3,1,230,2,low,female,1,4970,1,Very dissatisfied,delayed,Low Loyal
4697,C,Ship,3,5,204,2,medium,female,5,4504,1,Very Satisfied,delayed,Low Loyal
4698,E,Ship,4,4,266,2,low,female,5,5601,0,Satisfied,on time,Low Loyal
4699,D,Ship,4,3,213,3,low,female,2,5722,0,Neutral,on time,Low Loyal
4700,E,Ship,3,4,147,3,low,female,8,5525,0,Satisfied,on time,Low Loyal
4701,A,Ship,3,1,201,3,low,female,3,4556,1,Very dissatisfied,delayed,Low Loyal
4702,B,Ship,2,4,248,3,low,female,5,5441,0,Satisfied,on time,Low Loyal
4703,C,Ship,4,3,167,3,medium,male,5,5791,0,Neutral,on time,Low Loyal
4704,E,Ship,3,4,232,2,low,male,10,5678,0,Satisfied,on time,Low Loyal
4705,D,Ship,5,3,163,3,medium,male,9,4419,1,Neutral,delayed,Low Loyal
4706,E,Ship,4,4,201,5,medium,male,3,5901,1,Satisfied,delayed,Moderate Loyal
4707,A,Ship,4,5,252,2,low,female,9,4157,0,Very Satisfied,on time,Low Loyal
4708,B,Ship,3,1,146,4,low,female,10,4583,0,Very dissatisfied,on time,Moderate Loyal
4709,C,Ship,5,1,160,3,medium,male,3,5839,0,Very dissatisfied,on time,Low Loyal
4710,E,Ship,5,2,167,4,low,male,10,4325,0,Dissatisfied,on time,Moderate Loyal
4711,D,Ship,4,2,224,2,medium,female,8,4781,1,Dissatisfied,delayed,Low Loyal
4712,E,Ship,4,2,239,3,medium,female,5,5978,0,Dissatisfied,on time,Low Loyal
4713,A,Ship,4,1,151,6,low,male,7,4387,0,Very dissatisfied,on time,Moderate Loyal
4714,B,Ship,4,5,264,3,low,female,10,5972,0,Very Satisfied,on time,Low Loyal
4715,C,Ship,4,2,242,3,medium,male,8,4644,1,Dissatisfied,delayed,Low Loyal
4716,E,Ship,3,3,204,4,high,male,9,4712,0,Neutral,on time,Moderate Loyal
4717,D,Ship,3,5,260,2,medium,male,1,5970,0,Very Satisfied,on time,Low Loyal
4718,E,Ship,3,2,279,3,medium,female,6,4560,0,Dissatisfied,on time,Low Loyal
4719,A,Ship,3,4,225,4,low,female,8,5209,0,Satisfied,on time,Moderate Loyal
4720,B,Ship,3,5,190,3,low,male,9,4468,0,Very Satisfied,on time,Low Loyal
4721,C,Ship,4,2,152,2,low,male,7,5026,0,Dissatisfied,on time,Low Loyal
4722,E,Ship,3,2,201,6,medium,male,7,4723,1,Dissatisfied,delayed,Moderate Loyal
4723,D,Ship,3,2,191,2,medium,male,7,5357,0,Dissatisfied,on time,Low Loyal
4724,E,Ship,4,3,140,3,low,male,1,4453,0,Neutral,on time,Low Loyal
4725,A,Ship,5,3,199,4,medium,female,8,5362,0,Neutral,on time,Moderate Loyal
4726,B,Ship,4,1,194,3,medium,female,6,5282,0,Very dissatisfied,on time,Low Loyal
4727,C,Ship,4,2,273,2,low,female,5,5608,1,Dissatisfied,delayed,Low Loyal
4728,E,Ship,4,5,259,2,medium,female,4,4092,1,Very Satisfied,delayed,Low Loyal
4729,D,Ship,4,3,180,3,medium,male,5,4038,1,Neutral,delayed,Low Loyal
4730,E,Ship,5,3,251,2,low,male,9,4458,0,Neutral,on time,Low Loyal
4731,A,Ship,5,1,269,3,low,female,5,5031,0,Very dissatisfied,on time,Low Loyal
4732,B,Ship,6,3,274,6,medium,female,2,4281,0,Neutral,on time,Moderate Loyal
4733,C,Ship,5,5,250,2,medium,male,10,5475,1,Very Satisfied,delayed,Low Loyal
4734,E,Ship,3,5,265,3,medium,female,8,5980,0,Very Satisfied,on time,Low Loyal
4735,D,Ship,4,3,169,10,medium,female,6,5106,1,Neutral,delayed,High Loyal
4736,E,Ship,3,4,211,3,high,male,8,5191,1,Satisfied,delayed,Low Loyal
4737,A,Ship,4,4,245,2,low,male,6,5772,0,Satisfied,on time,Low Loyal
4738,B,Ship,4,1,188,2,low,male,6,5894,1,Very dissatisfied,delayed,Low Loyal
4739,C,Ship,3,5,244,2,medium,female,10,4064,1,Very Satisfied,delayed,Low Loyal
4740,E,Ship,3,5,233,3,medium,female,7,5787,0,Very Satisfied,on time,Low Loyal
4741,D,Ship,3,1,144,3,medium,female,6,4163,0,Very dissatisfied,on time,Low Loyal
4742,E,Ship,3,5,221,2,low,female,6,5289,0,Very Satisfied,on time,Low Loyal
4743,A,Ship,3,5,267,2,high,male,2,5062,1,Very Satisfied,delayed,Low Loyal
4744,B,Ship,3,1,211,3,high,female,7,5178,0,Very dissatisfied,on time,Low Loyal
4745,C,Ship,4,1,205,3,low,female,10,4923,0,Very dissatisfied,on time,Low Loyal
4746,E,Ship,3,2,144,3,high,male,1,5307,0,Dissatisfied,on time,Low Loyal
4747,D,Ship,3,3,195,7,medium,female,4,4614,0,Neutral,on time,High Loyal
4748,E,Ship,5,5,232,7,medium,male,6,5139,0,Very Satisfied,on time,High Loyal
4749,A,Ship,5,3,199,10,medium,female,1,5865,0,Neutral,on time,High Loyal
4750,B,Ship,5,5,232,3,low,female,5,5338,0,Very Satisfied,on time,Low Loyal
4751,C,Ship,5,4,272,2,low,female,1,5983,1,Satisfied,delayed,Low Loyal
4752,E,Ship,2,4,167,2,medium,male,1,4344,0,Satisfied,on time,Low Loyal
4753,D,Ship,3,4,272,8,high,female,10,4070,0,Satisfied,on time,High Loyal
4754,E,Ship,6,2,247,4,low,male,10,1556,0,Dissatisfied,on time,Moderate Loyal
4755,A,Ship,5,5,275,4,medium,male,9,1215,1,Very Satisfied,delayed,Moderate Loyal
4756,B,Ship,6,4,291,4,low,female,8,1131,0,Satisfied,on time,Moderate Loyal
4757,C,Ship,6,5,265,4,low,male,7,1404,1,Very Satisfied,delayed,Moderate Loyal
4758,E,Ship,7,3,250,5,medium,female,4,1163,1,Neutral,delayed,Moderate Loyal
4759,D,Ship,7,2,291,4,low,female,8,1275,0,Dissatisfied,on time,Moderate Loyal
4760,E,Ship,6,5,255,4,low,female,9,1197,0,Very Satisfied,on time,Moderate Loyal
4761,A,Ship,6,5,290,4,medium,male,2,1867,1,Very Satisfied,delayed,Moderate Loyal
4762,B,Ship,5,5,276,4,low,male,2,1411,1,Very Satisfied,delayed,Moderate Loyal
4763,C,Ship,4,1,149,3,medium,female,8,1136,0,Very dissatisfied,on time,Low Loyal
4764,E,Ship,3,3,201,6,medium,male,2,4984,0,Neutral,on time,Moderate Loyal
4765,D,Ship,3,4,191,2,medium,male,8,5667,1,Satisfied,delayed,Low Loyal
4766,E,Ship,4,4,140,3,low,female,4,5924,1,Satisfied,delayed,Low Loyal
4767,A,Ship,5,4,199,4,medium,male,2,4902,1,Satisfied,delayed,Moderate Loyal
4768,B,Ship,4,1,194,3,medium,female,9,5804,0,Very dissatisfied,on time,Low Loyal
4769,C,Road,4,5,273,2,low,female,9,5724,0,Very Satisfied,on time,Low Loyal
4770,E,Road,4,4,259,2,medium,female,8,4672,0,Satisfied,on time,Low Loyal
4771,D,Road,4,5,180,3,medium,female,1,5088,0,Very Satisfied,on time,Low Loyal
4772,E,Road,5,4,251,2,low,female,3,5347,1,Satisfied,delayed,Low Loyal
4773,A,Road,5,3,269,3,low,female,8,4811,0,Neutral,on time,Low Loyal
4774,B,Road,6,3,274,6,medium,female,1,4632,0,Neutral,on time,Moderate Loyal
4775,C,Road,5,2,250,2,medium,female,6,5565,0,Dissatisfied,on time,Low Loyal
4776,E,Road,3,3,265,3,medium,female,3,5241,0,Neutral,on time,Low Loyal
4777,D,Road,4,5,169,10,medium,female,6,4385,0,Very Satisfied,on time,High Loyal
4778,E,Road,3,3,211,3,high,female,4,4354,1,Neutral,delayed,Low Loyal
4779,A,Road,4,1,245,2,low,male,5,5324,1,Very dissatisfied,delayed,Low Loyal
4780,B,Road,4,5,188,2,low,female,4,4433,0,Very Satisfied,on time,Low Loyal
4781,C,Road,3,5,244,2,medium,male,8,5715,1,Very Satisfied,delayed,Low Loyal
4782,E,Road,3,4,233,3,medium,female,10,4626,0,Satisfied,on time,Low Loyal
4783,D,Road,3,4,144,3,medium,male,8,5867,1,Satisfied,delayed,Low Loyal
4784,E,Road,3,1,221,2,low,female,7,5320,0,Very dissatisfied,on time,Low Loyal
4785,A,Road,3,5,267,2,high,male,1,4195,1,Very Satisfied,delayed,Low Loyal
4786,B,Road,3,4,211,3,high,male,1,5144,0,Satisfied,on time,Low Loyal
4787,C,Road,4,4,205,3,low,male,6,4254,0,Satisfied,on time,Low Loyal
4788,E,Road,3,2,144,3,high,female,9,4428,1,Dissatisfied,delayed,Low Loyal
4789,D,Road,3,4,195,7,medium,female,9,5829,0,Satisfied,on time,High Loyal
4790,E,Road,5,3,232,7,medium,male,6,5285,1,Neutral,delayed,High Loyal
4791,A,Flight,5,1,199,10,medium,female,8,4140,0,Very dissatisfied,on time,High Loyal
4792,B,Flight,5,5,232,3,low,female,3,5718,1,Very Satisfied,delayed,Low Loyal
4793,C,Flight,5,3,272,2,low,female,4,5112,0,Neutral,on time,Low Loyal
4794,E,Flight,2,2,167,2,medium,female,3,5894,1,Dissatisfied,delayed,Low Loyal
4795,D,Flight,3,3,272,8,high,male,7,5257,1,Neutral,delayed,High Loyal
4796,E,Flight,6,4,247,4,low,female,2,1326,0,Satisfied,on time,Moderate Loyal
4797,A,Flight,5,2,275,4,medium,female,10,1141,1,Dissatisfied,delayed,Moderate Loyal
4798,B,Flight,6,5,291,4,low,male,9,1413,0,Very Satisfied,on time,Moderate Loyal
4799,C,Flight,6,1,265,4,low,female,7,1644,1,Very dissatisfied,delayed,Moderate Loyal
4800,E,Flight,7,2,250,5,medium,male,9,1327,0,Dissatisfied,on time,Moderate Loyal
4801,D,Flight,7,1,291,4,low,male,2,1216,1,Very dissatisfied,delayed,Moderate Loyal
4802,E,Flight,6,1,255,4,low,female,2,1385,0,Very dissatisfied,on time,Moderate Loyal
4803,A,Flight,6,2,290,4,medium,female,9,1339,0,Dissatisfied,on time,Moderate Loyal
4804,B,Flight,6,3,247,4,medium,female,4,1476,1,Neutral,delayed,Moderate Loyal
4805,C,Flight,6,2,152,2,low,female,9,1993,0,Dissatisfied,on time,Low Loyal
4806,E,Flight,7,5,278,4,low,female,5,1572,1,Very Satisfied,delayed,Moderate Loyal
4807,D,Flight,6,1,260,4,medium,female,2,1131,0,Very dissatisfied,on time,Moderate Loyal
4808,E,Flight,6,3,254,4,low,male,6,1335,0,Neutral,on time,Moderate Loyal
4809,A,Flight,2,4,151,4,low,female,6,1803,0,Satisfied,on time,Moderate Loyal
4810,B,Flight,2,5,198,2,medium,male,4,1913,1,Very Satisfied,delayed,Low Loyal
4811,C,Flight,6,4,243,4,low,male,9,1353,1,Satisfied,delayed,Moderate Loyal
4812,E,Flight,6,5,245,4,low,female,8,1403,0,Very Satisfied,on time,Moderate Loyal
4813,D,Ship,6,4,300,4,low,female,8,1301,1,Satisfied,delayed,Moderate Loyal
4814,E,Ship,6,1,303,4,medium,female,10,1003,0,Very dissatisfied,on time,Moderate Loyal
4815,A,Ship,7,3,286,4,low,female,3,1670,0,Neutral,on time,Moderate Loyal
4816,B,Ship,7,2,248,4,medium,female,1,1163,1,Dissatisfied,delayed,Moderate Loyal
4817,C,Ship,6,5,244,4,low,male,9,1789,1,Very Satisfied,delayed,Moderate Loyal
4818,E,Ship,7,1,290,4,low,female,9,1885,0,Very dissatisfied,on time,Moderate Loyal
4819,D,Ship,4,3,260,5,low,male,10,1832,1,Neutral,delayed,Moderate Loyal
4820,E,Ship,6,5,310,4,medium,male,1,1105,1,Very Satisfied,delayed,Moderate Loyal
4821,A,Ship,6,3,247,4,low,male,3,1616,1,Neutral,delayed,Moderate Loyal
4822,B,Ship,6,5,281,4,low,male,8,1241,1,Very Satisfied,delayed,Moderate Loyal
4823,C,Ship,6,3,260,4,medium,male,9,1800,0,Neutral,on time,Moderate Loyal
4824,E,Ship,6,1,263,4,low,female,6,1153,0,Very dissatisfied,on time,Moderate Loyal
4825,D,Ship,5,1,285,4,medium,female,10,1428,0,Very dissatisfied,on time,Moderate Loyal
4826,E,Ship,3,4,269,3,medium,male,9,5133,1,Satisfied,delayed,Low Loyal
4827,A,Ship,2,5,205,6,low,male,2,5671,0,Very Satisfied,on time,Moderate Loyal
4828,B,Ship,3,2,109,3,low,male,4,5746,0,Dissatisfied,on time,Low Loyal
4829,C,Ship,5,4,216,2,low,female,6,4535,0,Satisfied,on time,Low Loyal
4830,E,Ship,3,2,184,3,medium,female,8,4994,0,Dissatisfied,on time,Low Loyal
4831,D,Ship,4,4,106,2,low,male,6,5984,0,Satisfied,on time,Low Loyal
4832,E,Ship,3,1,228,2,low,female,5,4456,1,Very dissatisfied,delayed,Low Loyal
4833,A,Ship,4,5,140,3,medium,female,8,4956,0,Very Satisfied,on time,Low Loyal
4834,B,Ship,4,3,251,3,medium,male,5,4206,0,Neutral,on time,Low Loyal
4835,C,Ship,3,3,153,3,medium,male,5,4578,1,Neutral,delayed,Low Loyal
4836,E,Ship,4,4,176,2,medium,female,1,5793,0,Satisfied,on time,Low Loyal
4837,D,Ship,4,3,206,2,medium,female,4,5194,1,Neutral,delayed,Low Loyal
4838,E,Ship,3,3,189,2,low,female,9,4690,0,Neutral,on time,Low Loyal
4839,A,Ship,2,2,251,6,medium,female,1,4165,1,Dissatisfied,delayed,Moderate Loyal
4840,B,Ship,4,3,155,3,low,female,1,4360,1,Neutral,delayed,Low Loyal
4841,C,Ship,6,4,260,5,medium,male,2,4687,1,Satisfied,delayed,Moderate Loyal
4842,E,Ship,5,1,156,6,medium,female,4,4821,0,Very dissatisfied,on time,Moderate Loyal
4843,D,Ship,4,2,225,2,medium,male,7,5241,1,Dissatisfied,delayed,Low Loyal
4844,E,Ship,6,5,284,4,medium,male,8,5346,1,Very Satisfied,delayed,Moderate Loyal
4845,A,Ship,5,3,263,2,low,male,3,4474,1,Neutral,delayed,Low Loyal
4846,B,Ship,3,3,238,2,medium,male,2,5512,0,Neutral,on time,Low Loyal
4847,C,Ship,5,4,267,2,low,male,7,5292,0,Satisfied,on time,Low Loyal
4848,E,Ship,3,3,101,2,medium,male,9,4860,0,Neutral,on time,Low Loyal
4849,D,Ship,3,1,175,3,medium,male,1,4872,0,Very dissatisfied,on time,Low Loyal
4850,E,Ship,4,5,261,2,low,male,3,4119,0,Very Satisfied,on time,Low Loyal
4851,A,Ship,5,3,150,3,low,male,10,4799,1,Neutral,delayed,Low Loyal
4852,B,Ship,3,5,206,4,medium,female,2,5829,1,Very Satisfied,delayed,Moderate Loyal
4853,C,Ship,4,4,254,4,low,female,10,4827,0,Satisfied,on time,Moderate Loyal
4854,E,Ship,4,2,159,3,low,male,5,4985,1,Dissatisfied,delayed,Low Loyal
4855,D,Ship,2,5,284,3,medium,male,6,4575,0,Very Satisfied,on time,Low Loyal
4856,E,Ship,3,1,170,2,low,male,9,4112,0,Very dissatisfied,on time,Low Loyal
4857,A,Ship,4,5,245,3,low,female,7,4297,0,Very Satisfied,on time,Low Loyal
4858,B,Ship,4,5,152,3,medium,male,5,5191,0,Very Satisfied,on time,Low Loyal
4859,C,Ship,5,4,193,4,high,female,4,5757,1,Satisfied,delayed,Moderate Loyal
4860,E,Ship,5,3,231,2,low,male,8,5743,1,Neutral,delayed,Low Loyal
4861,D,Ship,4,1,212,3,low,male,3,4896,0,Very dissatisfied,on time,Low Loyal
4862,E,Ship,3,4,185,2,medium,male,8,5449,1,Satisfied,delayed,Low Loyal
